Total $\rho$,Scenario,Regret
0,Optimal Sample,47.85598478925974
0,Uniform Sample,166.7218893589714
0,Optimal Sample,27.42189973046149
0,Uniform Sample,343.94399780263996
0,Optimal Sample,53.56241537617491
0,Uniform Sample,238.1405851690939
0,Optimal Sample,45.38025237942208
0,Uniform Sample,215.32127166911167
0,Optimal Sample,42.659073931595714
0,Uniform Sample,256.13824320402153
0,Optimal Sample,41.19976212037842
0,Uniform Sample,256.04101411645803
0,Optimal Sample,38.28698261550351
0,Uniform Sample,105.26658385975412
0,Optimal Sample,57.08310947734667
0,Uniform Sample,465.5623007952259
0,Optimal Sample,53.32977185716694
0,Uniform Sample,183.81392566964163
0,Optimal Sample,124.84316514336861
0,Uniform Sample,638.5829970576651
0,Optimal Sample,10.290702219339531
0,Uniform Sample,164.07926998665988
0,Optimal Sample,72.2530241819708
0,Uniform Sample,264.47356600455674
0,Optimal Sample,63.758492010343076
0,Uniform Sample,220.74275103275713
0,Optimal Sample,28.486990975782643
0,Uniform Sample,49.90090902311478
0,Optimal Sample,37.942762771476104
0,Uniform Sample,404.24116238174014
